key_row,median_household_income
alabama,62027
alaska,89336
arizona,76872
arkansas,58773
california,96334
colorado,92470
connecticut,93760
delaware,82855
florida,71711
georgia,74664
hawaii,98317
idaho,74636
illinois,81702
indiana,70051
iowa,73147
kansas,72639
kentucky,62417
louisiana,60023
maine,71773
maryland,101652
massachusetts,101341
michigan,71149
minnesota,87556
mississippi,54915
missouri,68920
montana,69922
nebraska,74985
nevada,75561
new_hampshire,95628
new_jersey,101050
new_mexico,62125
new_york,84578
north_carolina,69904
north_dakota,75949
ohio,69680
oklahoma,63603
oregon,80426
pennsylvania,76081
rhode_island,86372
south_carolina,66818
south_dakota,72421
tennessee,67097
texas,76292
utah,91750
vermont,78024
virginia,90974
washington,94952
west_virginia,57917
wisconsin,75670
wyoming,74815
washington_dc,106287
puerto_rico,25096
