key_row,median_sale_price
alabama,283000.0
alaska,385000.0
arizona,456000.0
arkansas,255000.0
california,833000.0
colorado,583000.0
connecticut,416000.0
delaware,352000.0
florida,411000.0
georgia,367000.0
hawaii,740000.0
idaho,483000.0
illinois,287000.0
indiana,255000.0
iowa,228000.0
kansas,280000.0
kentucky,264000.0
louisiana,246000.0
maine,382000.0
maryland,413000.0
massachusetts,614000.0
michigan,252000.0
minnesota,353000.0
mississippi,253000.0
missouri,258000.0
montana,523000.0
nebraska,289000.0
nevada,457000.0
new_hampshire,481000.0
new_jersey,521000.0
new_mexico,358000.0
new_york,577000.0
north_carolina,367000.0
north_dakota,283000.0
ohio,242000.0
oklahoma,244000.0
oregon,505000.0
pennsylvania,283000.0
rhode_island,491000.0
south_carolina,382000.0
south_dakota,320000.0
tennessee,381000.0
texas,339000.0
utah,549000.0
vermont,388000.0
virginia,444000.0
washington,629000.0
west_virginia,249000.0
wisconsin,310000.0
wyoming,484000.0
washington_dc,659000.0
puerto_rico,138000.0
